name,pid,storeid,门店编码,门店名称,SPU编码,SKU,门店商品名称,总部商品名称,mtpid,美团开放平台唯一标识,商品条码,外部编码,商品描述,渠道库存,实物库存
XIXI心动麦穗免胶假睫毛十排160簇JM-29自然仿真卷翘分段式免卸眼睫毛贴 一份,5000070760,,1148448,京东便利店（花都新华店）,1894641615051227186,1894641615055605798,XIXI心动麦穗免胶假睫毛十排160簇JM-29自然仿真卷翘分段式免卸眼睫毛贴 一份,XIXI心动麦穗免胶假睫毛十排160簇JM-29自然仿真卷翘分段式免卸眼睫毛贴 一份,5000070760,2000058169,6976288585871.0,,,3,3
XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073788,,1148448,京东便利店（花都新华店）,1894641615025565696,1894641615030239316,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073788,2000060654,6976873590181.0,,,0,0
XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073789,,1148448,京东便利店（花都新华店）,1894641615025565696,1894641615029727241,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073789,2000060654,6976873590198.0,,,0,0
XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073791,,1148448,京东便利店（花都新华店）,1894641615025565696,1894641615026200622,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073791,2000060654,6976873590204.0,,,0,0
XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073793,,1148448,京东便利店（花都新华店）,1894641615025565696,1894641615029686331,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,XIXI【颜色可选】唇蜜水光镜面玻璃唇持久不掉色纯欲风伪素颜显白口红唇釉学生唇彩一份,5000073793,2000060654,6976873590235.0,,,0,0
XIXI摩登双色修容盘高光修容一体提亮脸部鼻影阴影侧影修容粉平价彩妆6.8g 4#水泥灰棕,5000070942,,1148448,京东便利店（花都新华店）,1894641615051354115,1894641615046434858,XIXI摩登双色修容盘高光修容一体提亮脸部鼻影阴影侧影修容粉平价彩妆6.8g 4#水泥灰棕,XIXI摩登双色修容盘高光修容一体提亮脸部鼻影阴影侧影修容粉平价彩妆6.8g 4#水泥灰棕,5000070942,2000058311,6970100675146.0,,,3,3
XIXI卧蚕笔高光棒防水防汗香槟金珠光白眼影笔显色高光立体泪眼妆彩妆 5#冰蓝糖霜,5000070730,,1148448,京东便利店（花都新华店）,1894641615054819361,1894641615059054652,XIXI卧蚕笔高光棒防水防汗香槟金珠光白眼影笔显色高光立体泪眼妆彩妆 5#冰蓝糖霜,XIXI卧蚕笔高光棒防水防汗香槟金珠光白眼影笔显色高光立体泪眼妆彩妆 5#冰蓝糖霜,5000070730,2000058142,,,,3,3
XIXI卧蚕笔高光棒防水防汗香槟金珠光白眼影笔显色高光立体泪眼妆彩妆 3#布丁啵啵,5000070649,,1148448,京东便利店（花都新华店）,1894641615042924589,1894641615046430816,XIXI卧蚕笔高光棒防水防汗香槟金珠光白眼影笔显色高光立体泪眼妆彩妆 3#布丁啵啵,XIXI卧蚕笔高光棒防水防汗香槟金珠光白眼影笔显色高光立体泪眼妆彩妆 3#布丁啵啵,5000070649,2000058065,6970100674446.0,,,3,3
XIXI海之梦境四色眼影小盘闪粉哑光珠光哑光少女心学生截断妆平价眼影 1#星星雾语,5000070823,,1148448,京东便利店（花都新华店）,1895069662925049940,1895069662916608063,XIXI海之梦境四色眼影小盘闪粉哑光珠光哑光少女心学生截断妆平价眼影 1#星星雾语,XIXI海之梦境四色眼影小盘闪粉哑光珠光哑光少女心学生截断妆平价眼影 1#星星雾语,5000070823,2000058209,,,,0,0
XIXI【颜色可选】闪片单色眼影盘亮晶晶爆闪细闪纯欲风渐变高光一抹上自动虚焦眼影一个,5000068330,,1148448,京东便利店（花都新华店）,1895069399044681771,1895069399053652016,XIXI【颜色可选】闪片单色眼影盘亮晶晶爆闪细闪纯欲风渐变高光一抹上自动虚焦眼影一个,XIXI【颜色可选】闪片单色眼影盘亮晶晶爆闪细闪纯欲风渐变高光一抹上自动虚焦眼影一个,5000068330,2000056258,,,,3,3
